clase,grupo,profesor,materia,aula,dia,hora,duracion
3041,"CAM","03","510","INFCUINA",2,2,,
3040,"CAM","03","45","29",1,5,,
3040,"CAM","03","45","29",3,4,,
3039,"CAM","08","110","INFCUINA",1,4,,
3039,"CAM","08","110","INFCUINA",3,2,,
3039,"CAM","08","110","INFCUINA",5,4,,
3038,"CAM","08","75","29",1,3,,
3038,"CAM","08","75","29",3,3,,
3038,"CAM","08","75","29",4,3,,
3037,"CAM","05","54","29",1,2,,
3036,"CAM","05","54","29",4,2,,
3036,"CAM","05","54","INFCUINA",5,2,,
3035,"CAM","02","511","INFCUINA",5,3,,
3034,"CAM","02","61","INFCUINA",2,3,,
3034,"CAM","02","61","INFCUINA",4,5,,
3033,"CAM","02","62","INFCUINA",2,4,,
3033,"CAM","02","62","INFCUINA",2,5,,
3033,"CAM","02","62","INFCUINA",4,4,,
3057,"CAS B","05","511","28",5,3,,
3057,"CAS A","05","511","28",5,3,,
3057,"CAS B","08","511","21",5,3,,
3057,"CAS A","08","511","21",5,3,,
3057,"CAS B","48","511","29",5,3,,
3057,"CAS A","48","511","29",5,3,,
3056,"CAS B","08","74","28",1,5,,
3056,"CAS B","08","74","28",2,2,,
3056,"CAS B","08","74","28",3,1,,
3056,"CAS B","08","74","28",5,5,,
3055,"CAS B","05","70","33",5,4,,
3054,"CAS B","05","70","28",1,4,,
3054,"CAS B","05","70","28",2,3,,
3054,"CAS B","05","70","28",3,2,,
3054,"CAS B","05","70","28",4,3,,
3053,"CAS B","02","47","B1",1,3,,
3052,"CAS B","02","47","28",1,2,,
3052,"CAS B","02","47","28",4,2,,
3051,"CAS B","02","46","B1",3,4,,
3050,"CAS B","02","46","28",3,3,,
3050,"CAS B","02","46","28",5,2,,
3048,"CAS A","08","73","21",2,4,,
3048,"CAS B","08","73","21",2,4,,
3048,"CAS A","11","402","25",2,4,,
3048,"CAS B","11","402","25",2,4,,
3048,"CAS A","03","71","28",2,4,,
3048,"CAS B","03","71","28",2,4,,
3047,"CAS A","08","74","21",1,2,,
3047,"CAS A","08","74","21",2,3,,
3047,"CAS A","08","74","21",3,4,,
3047,"CAS A","08","74","21",5,2,,
3046,"CAS A","06","70","21",3,3,,
3045,"CAS A","06","70","21",1,3,,
3045,"CAS A","06","70","21",2,2,,
3045,"CAS A","06","70","21",4,2,,
3045,"CAS A","06","70","B1",5,5,,
3044,"CAS A","02","47","21",1,5,,
3043,"CAS A","02","47","21",1,4,,
