codigo,nombre,1,aula,simbolo,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"CAS A","*Curs Accés Sup.",,"21","XK",,,,,,,,,,,,0,35,,,,,,0,16777215,,,1.00000,,"08",
"CAS B","*Curs Accés Sup.",,"28","XK",,,,,,,,,,,,0,35,,,,,,,,,,1.00000,,"05",
"CAM","*Curs Accés Mitj",,"29","X",,,,,,,,,,,,0,25,,,,,,,,,,1.00000,,"02",
"1GAD","*Gestió Adm. A (M)",,"32",,,6,6,,9,,,,,"CFM",,0,30,,,,"8-14.30/dime;dive:8-13;30",,,,,,1.00000,,"22",
"2GAD","2n Gest. Adm. (M)",,"32","X",,,,,,,,,,"CFM",,0,25,,,,,,,,,,1.00000,,"20",
"1AF","*1r Adm.Finan (S)",,"31","X",,5,6,,2,,,,,"CFS",,0,30,,,,"8-13.30/dima;dijous:8-14;30",,,,,,1.00000,,"17",
"2AF","*2n Ad. Finan (S)",,"31","X",,4,4,,2,,,,,"CFS",,0,25,,,,"16.30-21",,,,,,1.00000,,"15",
"1ADI","*1r Assist. Direcció (S)",,"30","X",,,,,,,,,,"CFS",,0,30,,,,,,,,,,1.00000,,"23",
"2ADI","2n Assist. Diecció (S)",,"30","X",,,,,,,,,,"CFS",,0,0,,,,,,,,,,1.00000,,"14",
"1ACO A","*1r Activitats comercials (M)",,"36","X",,,,,,,,,,"CFM",,0,30,,,,,,,,,,1.00000,,"26",
"1ACO B","*1r Activitats comercials (M)",,"36","X",,,,,,,,,,"CFM",,0,0,,,,,,,,,,1.00000,,"26",
"2ACO","*2n Activitats comercials",,"36","X",,,,,,,,,,"CFM",,0,0,,,,,,,,,,1.00000,,"106",
"1MAP","*1r Marqu. i Publicitat  (S)",,"35","X",,,,,,,,,,"CFS",,0,20,,,,,,,,,,1.00000,,"25",
"2MAP","*2n Marqu. i Publicitat",,"35","X",,,,,,,,,,"CFS",,0,0,,,,,,,,,,1.00000,,"105",
"1IEA","*1r Ins.Elec. Autom (M)",,"TE 1","X",,,,,,,,,,"CFM",,0,30,,,,,,,,,,1.00000,,"36",
"2IEA","*2n Ins.Elec,Autom(M)",,"TE 4","X",,,,,,,,,,"CFM",,0,20,,,,,,,,,,1.00000,,"32",
"1ARI","*1r Autom.i Rob. Ind. (S)",,"E13","X",,6,6,,2,,,,,"CFS",,0,20,,,,"8-13.30/dima;dijous:8-14;30",,,,,,1.00000,,"29",
"2ARI","*2n Autom. i Rob. Ind(S)",,"E13","X",,,,,,,,,,"CFS",,0,20,,,,,,,,,,1.00000,,"28",
"IT","* Inst. Telecomunicions (M)",,"AL 2","X",,,,,,,,,,"CFM",,0,0,,,,,,,,,,1.00000,,"33",
"1EE","*1r  Efic. Energ.(S)",,"E12","X",,,,,,,,,,"CFS",,0,15,,,,,,,,,,1.00000,,"47",
"2EE","*2n Efic. Energ.",,"E12","X",,,,,,,,,,"CFS",,0,0,,,,,,,,,,1.00000,,"34",
"1SMX A","*1r Sist. Microinf. i Xarx. A (M)",,"20.2","X",,,,,,,,,,"CFM",,0,20,,,,,,,,,,1.00000,,"44",
"1SMX B","*1r Sist. Microinf. i Xarx. B (M)",,"20.4","XK",,,,,,,,,,"CFM",,0,20,,,,,,,,,,1.00000,,"118",
"1SMX C","*1r Sist. Microinf. i Xarx. C(M)",,"23","X",,,,,,,,,,"CFM",,0,0,,,,,,,,,,1.00000,,"44",
"2SMX A","*2n Sist. Microinf. i Xarx. (M)",,"20.3","X",,,,,,,,,,"CFM",,0,20,,,,,,,,,,1.00000,,"46",
"2SMX B","*2n Sist. Microinf. i Xarx. (M)",,"23","X",,,,,,,,,,"CFM",,0,0,,,,,,,,,,1.00000,,"46",
"1ASIX-DAM","*1r Adm Sist Inf xarxa  (S)",,"20.3","XK",,,,,,,,,,"CFS",,0,30,,,,,,,,,,1.00000,,"42",
"2ASIX","*2n Adm Sist Inf xarxa(S)",,"20.2","X",,,,,,,,,,"CFS",,0,0,,,,,,,,,,1.00000,,"45",
"2DAM","*2n Desenv Aplic Mult (S)",,"20.4","X",,,,,,,,,,"CFS",,0,0,,,,,,,,,,1.00000,,"38",
"1MEM","*1r  Mant. Electromec.(M)",,"16","X",,4,4,,9,,,,,"CFM",,0,30,,,,"8-13.30",,,,,,1.00000,,"50",
"2MEM","*2n Mant. Electromec.(M)",,"16","X",,5,5,,9,,,,,"CFM",,0,30,,,,"16.30-22/dime;div16.30-21",,,,,,1.00000,,"52",
"1MEC","*1r Mecanització(M)",,"17","X",,5,5,,9,,,,,"CFM",,0,30,,,,"8-13.30/dilluns:8-14;30",,,,,,1.00000,,"49",
