codigo,nombre,1,2,aula,4,5,6,7,8,9,10,11,12,13,codigo_estudio,estudio,14,15,16,nombre_corto,18
"46","Llengua Catalana",,,,,,,,9,,,,,1.00000,"CAS","Curs d'accès a grau superior",,,,"CA",
"47","Llengua Castellana",,,,,,,,9,,,,,1.00000,"CAS","Curs d'accès a grau superior",,,,"CAS",
"70","Anglès",,,,,,,,9,,,,,1.00000,"CAS","Curs d'accès a grau superior",,,,"AN",
"74","Matemàtiques",,,,,,,,9,,,,,1.00000,"CAS","Curs d'accès a grau superior",,,,"MAT",
"42","Estructures comunes",,,,,,,0,9,,,,,1.00000,"CAS","Curs d'accès a grau superior",,,,"EST",
"402","Optativa",,,,,,,0,9,,,,,1.00000,"CAS","Curs d'accès a grau superior",,,,"OP",
"55","1r SMX-M9 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"SMX","Sistemes microinformàtics en xarxes",9,0,,"M 9",
"45","Llengua Catalana",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"CA",
"54","Anglès",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"AN",
"61","Llengua Castellana",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"CAS",
"62","Ciències socials",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"CS",
"75","Matemàtiques",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"MAT",
"110","Optativa",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"OP",
"510","Estrucutres comunes",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"EST",
"511","Tutoria",,,,,,,0,9,,,,,1.00000,"CAM","Curs d'accès a grau mitjà",,,,"TU",
"283","1r ASIX-M1 - Implementació de sistemes operatius",,,,,,,0,14,,,"ASIX",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 1",
"270","2n ASIX-M2 - Gestió de base de dades",,,,,,,0,14,,,"14",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 2",
"264","1r ASIX-M3 - Programació bàsica",,,,,,,0,14,,,"0",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 3",
"296","1r ASIX-M4 - Llenguatges de marques i sistemes de gestió d'informació",,"0",,,99,99,0,14,,,,,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 4",
"290","2n ASIX-M5 - Fonaments de maquinari",,,,,,,0,14,,,"14",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 5",
"284","2n ASIX-M6 - Administració de sistemes operatius",,,,,,,0,14,,,"ASIX",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 6",
"275","2n ASIX-M7 - Planificació i administració de xarxes",,,,,,,0,14,,,"Administració de sistemes i implementació en xarxes",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 7",
"272","2n ASIX-M8 - Serveis de xarxa i internet",,,,,,,0,14,,,,,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",12,16777215,,"M 8",
"281","2n ASIX-M9 - Implementació daplicacions web",,,,,,,0,14,,,,,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 9",
"269","2n ASIX-M10 - Administració de sistemes de gestió de base de dades",,"0",,,99,99,0,14,,,,,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 10",
"276","2n ASIX-M11 - Seguritat i alta disponibilitat",,,,,,,0,14,,,"1.00000",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",11,16777215,,"M 11",
"452","1r ASIX-M13 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"ASIX",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 13",
"114","CAI-C1 - Operacions administratives i documentació sanitaria",,,,,14,,0,14,,,,,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C1",
"116","CAI-C2 - L'èsser humà davant les malalties",,,,,,,0,14,,,"1.00000",,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C2",
"115","CAI-C3 - Benestar del pacient. Necessitats d'higiene, repòs i moviment",,,,,0,,0,14,,,,,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C3",
"13","CAI-C4 - Cures bàsiques dinfermer",,,,,,,0,14,,,"14",,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C4",
"125","CAI-C5 - Primers auxilis",,,,,,,0,14,,,,,1.00000,"CAI","Cures auxiliars d'infermeria",0,16777215,,"C5",
"14","CAI-C6 - Higiene del medi hospitalari i neteja del material",,,,,14,,0,14,,,,,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C6",
"198","CAI-C7 - Recolzament psicològic al pacient/client",,,,,,,0,14,,,"CAI",,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C7",
"121","CAI-C8 - Educació per la salut",,,,,,,0,14,,,"0",,1.00000,"CAI","Cures auxiliars d'infermeria",0,16777215,,"C8",
"126","CAI-C9 - Tècniques d'ajuda odontològica/estomatològica",,,,,0,14,0,14,,,,,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C9",
"19","CAI-C10 - Relacions en l'equip de treball",,,,,,,0,14,,,"1.00000",,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C10",
"15","CAI-C11 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"CAI","Cures auxiliars d'infermeria",,,,"C11",
"297","2n DAM-M2 - Bases de dades",,,,,,,0,14,,,,,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",0,16777215,,"M 2",
"265","2n DAM-M3 - Programació",,,,,,,0,14,,,,,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",,,,"M 3",
"266","2n DAM-M5 - Entorns de desenvolupament",,,,,,,0,14,,,,,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",,,,"M 5",
"298","2n DAM-M6 - Accés a dades",,,,,,,0,14,,,,,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",,,,"M 6",
"285","2n DAM-M7 - Desenvolupament d'interfícies",,,,,,,0,14,,,,,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",,,,"M 7",
